1420710,"Night of the Dead Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1424230,"Holdfast: Nations At War - Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1427490,"ExoCorps Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1430110,"Assetto Corsa Competizione Dedicated Server","unknown (No License)","unknown (No License)",false,false
1433120,"STAR WARS™: The Old Republic™ - Public Test Server","unknown (No License)","unknown (No License)",false,false
1433270,"SCP: Escape Together Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1460560,"Unclear Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1471190,"NARAKA: BLADEPOINT - Test Server Playtest","unknown (No License)","unknown (No License)",false,false
1475910,"DIY Simulator Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1479670,"Zero-based World Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1480080,"Notruf 112 - 2 Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1481590,"Zero-based World Dedicated Server Alpha","released (Subscribed,Permanent,)","released (Subscribed,Invalid Platform,Permanent,)",true,false
1502300," Survive the Nights Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1503660,"Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1534710,"SCP: Breakout Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1541640,"Cartels Dedicated Server","unknown (No License)","unknown (No License)",false,false
1549820,"Modiverse Linux Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1565820,"Operation Valor Dedicated Server","unknown (No License)","unknown (No License)",false,false
1573820,"Raptor Territory Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1574860,"Kaboom! Dedicated Server","unknown (No License)","unknown (No License)",false,false
1575887,"Sniper Ghost Warrior Contracts 2 - Blue Servers Skins","unknown (No License)","unknown (No License)",false,false
1587690,"EZ2ON REBOOT : R (Test Server)","unknown (No License)","unknown (No License)",false,false
1602470,"DOOMBRINGER Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1603250,"Cyberless: Online Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1612490,"Insane Town Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1624070,"ArtemisheaServer","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1639880,"Longvinter Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1652070,"QANGA Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1653130,"Desperation Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1663160,"POW Windows Dedicated Server","unknown (No License)","unknown (No License)",false,false
1664300,"Animalia Survival Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1665030,"Nova-Life_GameServer","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1670340,"Craftopia Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1686460,"nanos world Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1688010,"GotG Dedicated Server","unknown (No License)","unknown (No License)",false,false
1690800,"Satisfactory Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1696170,"Deadswitch 3 Multiplayer Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1697660,"Hellbreath Dedicated Server","unknown (No License)","unknown (No License)",false,false
1717030,"Smerch Battle Arena - Dedicated Server","unknown (No License)","unknown (No License)",false,false
